contig pos av LG
Contig50299 104232 0 1
Contig375626 333 0.000999999999997669 1
Contig48395 124931 0.656999999999996 1
Contig48395 125007 0.656999999999996 1
Contig51009 12967 0.656999999999996 1
Contig70326 11561 0.798000000000002 1
Contig102001 41656 0.965499999999999 1
Contig102001 41681 0.965499999999999 1
Contig10416 14790 0.965499999999999 1
Contig10416 14844 0.965499999999999 1
Contig10416 2141 0.965499999999999 1
Contig10416 2183 0.965499999999999 1
Contig10416 2200 0.965499999999999 1
Contig10416 2222 0.965499999999999 1
Contig10416 2242 0.965499999999999 1
Contig10416 2251 0.965499999999999 1
Contig10416 2288 0.965499999999999 1
Contig10416 2293 0.965499999999999 1
Contig104492 2191 0.965499999999999 1
Contig105140 7104 0.965499999999999 1
Contig105487 8763 0.965499999999999 1
Contig105487 8796 0.965499999999999 1
Contig106414 4597 0.965499999999999 1
Contig107839 23390 0.965499999999999 1
Contig107839 23415 0.965499999999999 1
Contig107839 23417 0.965499999999999 1
Contig107839 23424 0.965499999999999 1
Contig107839 23454 0.965499999999999 1
Contig107839 23479 0.965499999999999 1
Contig107839 23495 0.965499999999999 1
Contig107839 23564 0.965499999999999 1
Contig10845 20380 0.965499999999999 1
Contig10845 20517 0.965499999999999 1
Contig10845 20540 0.965499999999999 1
Contig110798 10295 0.965499999999999 1
Contig111018 8819 0.965499999999999 1
Contig112090 4771 0.965499999999999 1
Contig112298 625 0.965499999999999 1
Contig11346 12732 0.965499999999999 1
Contig11346 12807 0.965499999999999 1
Contig11346 12840 0.965499999999999 1
Contig11346 27040 0.965499999999999 1
Contig11346 27078 0.965499999999999 1
Contig11346 27239 0.965499999999999 1
Contig113922 3960 0.965499999999999 1
Contig113922 4000 0.965499999999999 1
Contig113922 4061 0.965499999999999 1
Contig113922 4085 0.965499999999999 1
Contig116534 15862 0.965499999999999 1
Contig118149 18850 0.965499999999999 1
Contig11969 5432 0.965499999999999 1
Contig11969 5441 0.965499999999999 1
Contig11969 5443 0.965499999999999 1
Contig11969 5500 0.965499999999999 1
Contig11969 5515 0.965499999999999 1
Contig11969 5538 0.965499999999999 1
Contig122307 1626 0.965499999999999 1
Contig12406 23059 0.965499999999999 1
Contig12406 53761 0.965499999999999 1
Contig12406 53921 0.965499999999999 1
Contig12406 53942 0.965499999999999 1
Contig12406 6895 0.965499999999999 1
Contig12406 6914 0.965499999999999 1
Contig124290 991 0.965499999999999 1
Contig12701 1046 0.965499999999999 1
Contig12701 1074 0.965499999999999 1
Contig127776 8844 0.965499999999999 1
Contig127776 8857 0.965499999999999 1
Contig127776 8905 0.965499999999999 1
Contig127776 8929 0.965499999999999 1
Contig127776 9043 0.965499999999999 1
Contig127776 9062 0.965499999999999 1
Contig127868 16825 0.965499999999999 1
Contig128777 7862 0.965499999999999 1
Contig128777 7863 0.965499999999999 1
Contig128777 7904 0.965499999999999 1
Contig128777 7984 0.965499999999999 1
Contig128777 8060 0.965499999999999 1
Contig129525 24864 0.965499999999999 1
Contig1296 43667 0.965499999999999 1
Contig1296 7748 0.965499999999999 1
Contig130056 3575 0.965499999999999 1
Contig130056 7115 0.965499999999999 1
Contig130056 7167 0.965499999999999 1
Contig130056 7272 0.965499999999999 1
Contig131972 3046 0.965499999999999 1
Contig131972 3102 0.965499999999999 1
Contig131972 3182 0.965499999999999 1
Contig134678 408 0.965499999999999 1
Contig134678 574 0.965499999999999 1
Contig135566 186 0.965499999999999 1
Contig135566 259 0.965499999999999 1
Contig135566 269 0.965499999999999 1
Contig135566 317 0.965499999999999 1
Contig137720 3547 0.965499999999999 1
Contig137720 3582 0.965499999999999 1
Contig137720 3600 0.965499999999999 1
Contig137720 3658 0.965499999999999 1
Contig13842 22286 0.965499999999999 1
Contig141545 2578 0.965499999999999 1
Contig14248 14467 0.965499999999999 1
Contig14248 14492 0.965499999999999 1
Contig14248 14535 0.965499999999999 1
Contig14248 14550 0.965499999999999 1
Contig14248 14558 0.965499999999999 1
Contig142675 16442 0.965499999999999 1
Contig144952 175 0.965499999999999 1
Contig144952 271 0.965499999999999 1
Contig145 15190 0.965499999999999 1
Contig145 67470 0.965499999999999 1
Contig152269 10629 0.965499999999999 1
Contig152269 10712 0.965499999999999 1
Contig153953 4605 0.965499999999999 1
Contig15481 838 0.965499999999999 1
Contig15481 860 0.965499999999999 1
Contig15481 887 0.965499999999999 1
Contig15481 890 0.965499999999999 1
Contig15481 937 0.965499999999999 1
Contig157565 553 0.965499999999999 1
Contig157565 635 0.965499999999999 1
Contig157715 1093 0.965499999999999 1
Contig157715 1185 0.965499999999999 1
Contig157715 1205 0.965499999999999 1
Contig160474 16704 0.965499999999999 1
Contig160474 16705 0.965499999999999 1
Contig161745 8825 0.965499999999999 1
Contig161745 8858 0.965499999999999 1
Contig165035 1354 0.965499999999999 1
Contig167018 464 0.965499999999999 1
Contig169072 1372 0.965499999999999 1
Contig169072 1409 0.965499999999999 1
Contig169072 1423 0.965499999999999 1
Contig172078 11624 0.965499999999999 1
Contig172893 5586 0.965499999999999 1
Contig172893 5587 0.965499999999999 1
Contig172893 5588 0.965499999999999 1
Contig173369 12484 0.965499999999999 1
Contig174042 351 0.965499999999999 1
Contig174877 631 0.965499999999999 1
Contig174922 11504 0.965499999999999 1
Contig175689 4397 0.965499999999999 1
Contig175689 4498 0.965499999999999 1
Contig175689 4515 0.965499999999999 1
Contig175689 4527 0.965499999999999 1
Contig17582 29304 0.965499999999999 1
Contig179543 21389 0.965499999999999 1
Contig181326 3788 0.965499999999999 1
Contig181326 3901 0.965499999999999 1
Contig181326 3929 0.965499999999999 1
Contig181326 3962 0.965499999999999 1
Contig181326 4016 0.965499999999999 1
Contig18307 933 0.965499999999999 1
Contig18307 941 0.965499999999999 1
Contig187679 104 0.965499999999999 1
Contig187679 131 0.965499999999999 1
Contig191206 12780 0.965499999999999 1
Contig191206 12906 0.965499999999999 1
Contig194594 1718 0.965499999999999 1
Contig194594 1721 0.965499999999999 1
Contig194594 1727 0.965499999999999 1
Contig1962 20328 0.965499999999999 1
Contig215584 4262 0.965499999999999 1
Contig215584 4271 0.965499999999999 1
Contig215584 4364 0.965499999999999 1
Contig220127 2992 0.965499999999999 1
Contig220127 3064 0.965499999999999 1
Contig2225 38402 0.965499999999999 1
Contig2225 38469 0.965499999999999 1
Contig2225 38504 0.965499999999999 1
Contig2225 38595 0.965499999999999 1
Contig222854 3090 0.965499999999999 1
Contig224705 3957 0.965499999999999 1
Contig237519 2271 0.965499999999999 1
Contig237519 2381 0.965499999999999 1
Contig237519 2451 0.965499999999999 1
Contig243479 2279 0.965499999999999 1
Contig24859 255 0.965499999999999 1
Contig2535 25222 0.965499999999999 1
Contig2535 25344 0.965499999999999 1
Contig255783 301 0.965499999999999 1
Contig255783 305 0.965499999999999 1
Contig265229 443 0.965499999999999 1
Contig265229 462 0.965499999999999 1
Contig274182 153 0.965499999999999 1
Contig274182 346 0.965499999999999 1
Contig280 56646 0.965499999999999 1
Contig285457 347 0.965499999999999 1
Contig287 20528 0.965499999999999 1
Contig3057 11879 0.965499999999999 1
Contig3057 11936 0.965499999999999 1
Contig3057 11959 0.965499999999999 1
Contig3073 42390 0.965499999999999 1
Contig3073 42434 0.965499999999999 1
Contig3073 42448 0.965499999999999 1
Contig3073 42479 0.965499999999999 1
Contig3073 42541 0.965499999999999 1
Contig3073 42552 0.965499999999999 1
Contig3073 42553 0.965499999999999 1
Contig3088 19249 0.965499999999999 1
Contig3124 24892 0.965499999999999 1
Contig3124 24910 0.965499999999999 1
Contig3124 24944 0.965499999999999 1
Contig3124 25555 0.965499999999999 1
Contig3124 25640 0.965499999999999 1
Contig3124 25656 0.965499999999999 1
Contig3124 25670 0.965499999999999 1
Contig3124 25717 0.965499999999999 1
Contig3124 7811 0.965499999999999 1
Contig3157 31652 0.965499999999999 1
Contig3157 31793 0.965499999999999 1
Contig3164 34189 0.965499999999999 1
Contig323543 206 0.965499999999999 1
Contig323543 236 0.965499999999999 1
Contig323543 305 0.965499999999999 1
Contig3381 29605 0.965499999999999 1
Contig339828 3418 0.965499999999999 1
Contig345108 118 0.965499999999999 1
Contig345108 127 0.965499999999999 1
Contig345108 188 0.965499999999999 1
Contig345108 191 0.965499999999999 1
Contig345108 260 0.965499999999999 1
Contig35535 4090 0.965499999999999 1
Contig35535 4189 0.965499999999999 1
Contig357403 3011 0.965499999999999 1
Contig3576 9469 0.965499999999999 1
Contig375626 170 0.965499999999999 1
Contig375626 303 0.965499999999999 1
Contig375626 309 0.965499999999999 1
Contig375626 318 0.965499999999999 1
Contig38066 9829 0.965499999999999 1
Contig38066 9830 0.965499999999999 1
Contig38112 16668 0.965499999999999 1
Contig38152 28242 0.965499999999999 1
Contig38152 30204 0.965499999999999 1
Contig38152 30277 0.965499999999999 1
Contig38152 30311 0.965499999999999 1
Contig38152 3184 0.965499999999999 1
Contig38152 42608 0.965499999999999 1
Contig38152 62032 0.965499999999999 1
Contig38152 62063 0.965499999999999 1
Contig38152 62145 0.965499999999999 1
Contig38152 69052 0.965499999999999 1
Contig38152 69118 0.965499999999999 1
Contig38316 11071 0.965499999999999 1
Contig383759 118 0.965499999999999 1
Contig383759 128 0.965499999999999 1
Contig383759 131 0.965499999999999 1
Contig383759 188 0.965499999999999 1
Contig383759 198 0.965499999999999 1
Contig383759 220 0.965499999999999 1
Contig383759 232 0.965499999999999 1
Contig383759 233 0.965499999999999 1
Contig38603 47245 0.965499999999999 1
Contig38998 14199 0.965499999999999 1
Contig38998 2228 0.965499999999999 1
